Feature,SHAP_Abs,SHAP_Mean
Media_Dist_Geral,1011.4597581365197,-42.71757121394287
Metabolic Power,490.09242705108704,-0.7621732953748754
Media_Load_Geral,290.6141537945935,-1.1255146059325944
Work Rate Dist,265.647333866596,35.4904289287426
Dias_Descanso,237.76736304715072,-11.578841103216373
Media_HR_Geral,123.06835634884438,-2.4900053834324107
Media_Load_Contexto,105.3005902907105,17.750849720409416
Trend_Dist,74.46659545554361,2.7831176770237
Media_Dist_Contexto,65.44651855018225,11.914411850626104
Media_HS_Geral,48.81085945171794,-2.4795335771492564
Media_Sprint_Geral,46.37533795881188,-9.032520771990955
N_Jogos,43.72930241573254,8.837423873194288
Carga_7Jogos,36.28006234210366,-4.725302804146363
Media_HIA_Geral,29.584822839414528,-3.9621699151549756
Minutos,28.5548311212479,-3.0199962466745
Carga_3Jogos,25.688987437278197,6.105349948069867
Diff_Gols,21.29780460366942,-2.500457884541047
Media_HIA_Contexto,16.056658939324535,0.5119880686272628
Equiv Distance Index,0.0,0.0
